What is the plural form of the word mongoose?,MONGOOSES
What is the new color called when you make a hue light?,TINT
We use thermometers to figure out what?,HOW HOT OR COLD IT IS
What best describes the color filters added to a stage light?,GELS
What is the proper abbreviation for the word “Department”?,DEPT.
"In astronomy, what star is closest to the Earth?",THE SUN
What is the name of the Indians who signed a peace treaty with the Pilgrims?,WAMPANOAGS
In what part of the Earth’s atmosphere would you find the ozone layer?,STRATOSPHERE
What are the bones in your head called?,SKULL
There are two types of whales. One type is “toothed.” What is the other type?,BALEEN
Which of the following words means “belonging to them”?,THEIR
Who is the author of “Black Beauty”?,ANNA SEWELL
Which of the following provides a good?,BAKER
Which of the following books is NOT part of the “Chronicles of Narnia” series by C.S. Lewis?,THE TWO TOWERS
"During the water cycle, most of the earth’s water evaporates from what large heated land mass?",THE OCEANS
Who was a woman’s rights leader who was arrested for voting?,SUSAN B. ANTHONY
"Who wrote the poem, “I Wandered So Lonely As a Cloud”?",WILLIAM WORDSWORTH
What type of rock has a name that comes from the Latin word for “fire”?,IGNEOUS
What does the French word “quatre-vingts” mean?,80
How many vowels are in the word “beautify”?,4
"In 1976, what country made the first soft landing on Mars?",UNITED STATES
How many instruments are in a string quartet?,4
What do we call the currency of Australia?,DOLLAR
Which is not part of the muscular system?,STERNUM
Minneapolis is a what?,CITY
What is the complementary color of green?,RED
How many syllables are in the word “enemy”?,3
Which of the following instruments is a member of the woodwind family?,BASSOON
"When only a portion of the moon crosses the Earth’s shadow, what kind of eclipse is this called?",PARTIAL
Which of these would be found backstage at a theater?,GREEN ROOM
Which of the following colonies won its independence from France in the mid 20th century?,DJIBOUTI
"Under the Dewey Decimal system, which of the following topics would you find listed under numbers 600-699?",ENGINEERING
What is the abbreviation in the following sentence “Gov. Jones signed the education bill”?,GOV
Which of the following words refers to a “marine mammal”?,WHALE
The norse god Thor often defeated giants with what kind of weapon?,HAMMER
What U.S. state lies the farthest east?,ILLINOIS
What is the suffix of the word “freedom”?,DOM
What is 25 times 76?,1900
Which units would you use to measure the distance from the earth to the moon?,MILES
"In the Dewey decimal system, where would you find books about poetry?",800-899
Monrovia is the capital of what African country?,LIBERIA
In what units would you measure a pencil?,INCHES
What does the Latin affix “tend” mean as in “extend”?,STRETCH
How many nouns are in the following sentence? “The rabbit ran to the cafeteria and ate a big salad”?,3
What is the decimal equivalent of 4/8?,0.5
Which of the following is a synonym for “earn”?,OBTAIN
The wearing away of land by wind or water is known as what?,EROSION
Joseph Haydn is sometimes called the father of what type of music?,SYMPHONY
How many proper nouns are in the following sentence?,1 (CORRECT)
Which of these is not a wedge?,SLIDE
What is the largest city in Vietnam?,HO CHI MINH CITY
What do we call something that a company physically makes?,GOODS
Degrees are a measurement of what?,ANGLES
What is the numeric value of the Roman numeral “XIX”?,19
The Siberian Plain borders what ocean?,ARCTIC
"In Roman numerals, what is LII plus XX",LXXII
Who owns Curious George?,THE MAN IN THE YELLOW HAT
What is the Spanish word for mouth?,BOCA
What number is less than 15?,14
Skylab was launched in what year?,1973
Wolfgang Amadeus Mozart composed music during which period?,CLASSICAL
What makes up a constellation?,STARS
How do you say “thank you” in German?,DANKE
Which of the following oceans is NOT touched by Antartica?,ARCTIC OCEAN
"If you cross the northern border of the US, in what country are you?",CANADA
A man-made lake created for the purpose of storing water is called a what?,RESERVOIR
North Dakota is in what time zone?,MOUNTAIN AND CENTRAL
"During the U.S. Civil War, what city in Virginia was capital of the Confederacy?",RICHMOND
What does the French word “effraye” mean?,FRIGHTENED
What do we call the phase of the moon when it’s completely bright with no shadows on it?,FULL MOON
In what habitat would you find a meercat?,DESERT
Ten to the fifth power is the same as what?,ONE HUNDRED THOUSAND
What term do we use to refer to everything the audience sees on the stage?,SET
What part of the plant is a carrot?,ROOT
"Requiring the growth of corral, atolls are found only in what kind of water?",WARM TROPICAL WATER
What kind of democracy did ancient Athens practice?,DIRECT
"On the periodic table, what element is represented by the letters “Ti”?",TITANIUM
Evaporation occurs when what happens to an object?,IT’S HEATED
Which author wrote the railway series about talking trains that live on an island?,REV W. AWDRY
What is the Spanish word for 15?,QUINCE
What kind of wave requires a medium to travel thru?,MECHANICAL
Pumice is formed from what kind of rock?,VOLCANIC
Which word is a synonym for “change”?,ALTER
What word is the opposite of the word “right”?,WRONG
What is the opposite of the word “advance”,RETREAT
"In Greek mythology, which god was the ruler of the sea?",POSEIDON
Which famous American made the first telephone?,ALEXANDER GRAHAM BELL
How many consonants are in the word “cinnamon”?,5
Which of these words is spelled correctly?,BEHAVIOR
What does the word “enojado” in Spanish mean?,MAD
What kinds of tubes transfer nutrients from the roots to the leaves?,XYLEM
An isosoles triangle has how many equal sides?,2
Which of the following is NOT considered a cool color?,ORANGE
Which of the following words does not mean the same as the word “complicated”?,FUTILE
Which of the following tempos refers to a relative speed of a piece of music?,TEMPO
what is the first name of 18th century Austrian composer Mozart?,WOLFGANG
Which of the following artic animals does NOT use camoflauge?,CARIBOU
